Transaction_ID,Book_ID,Book_Title,Category,Author,Member_ID,Member_Type,Borrow_Date,Due_Date,Return_Date,Status,Fine_Amount
TRX-1026,BK-117,Advanced Data Science,,E. Gamma,MEM-234,Faculty,2025-06-18,2025-07-02,2025-06-28,Returned On Time,0.0
TRX-1027,BK-115,Operating System Principles,Software Engineering,S. Russell,MEM-232,Faculty,2025-01-22,2025-02-05,2025-02-01,Returned On Time,0.0
TRX-1028,BK-107,The Pragmatic Programmer,Software Engineering,A. Silberschatz,MEM-220,Faculty,2025-10-11,2025-10-25,2025-10-25,Returned On Time,0.0
TRX-1029,BK-115,Database System Concepts,AI & ML,A. Tanenbaum,MEM-248,Student,2025-06-21,2025-07-05,2025-07-16,Returned Late,27.5
TRX-1030,BK-102,Deep Learning with Python,Computer Science,G. van Rossum,MEM-223,Student,2025-06-30,2025-07-14,2025-07-12,Returned On Time,0.0
TRX-1031,BK-100,Database System Concepts,Data Science,S. Russell,MEM-241,General,2025-02-27,2025-03-13,2025-03-24,Returned Late,27.5
TRX-1032,BK-114,Artificial Intelligence: A Modern Approach,Data Science,A. Tanenbaum,MEM-241,General,2025-09-30,2025-10-14,2025-10-18,Returned Late,10.0
TRX-1033,BK-106,Design Patterns,,A. Tanenbaum,MEM-249,General,2025-01-13,2025-01-27,2025-01-23,Returned On Time,0.0
TRX-1034,BK-119,Introduction to Python,AI & ML,A. Tanenbaum,MEM-222,Student,2025-10-15,2025-10-29,2025-10-27,Returned On Time,0.0
TRX-1035,BK-116,Operating System Principles,Data Science,E. Gamma,MEM-214,Student,2025-04-11,2025-04-25,2025-04-23,Returned On Time,0.0
TRX-1036,BK-104,Data Structures and Algorithms,AI & ML,E. Gamma,MEM-244,Student,2025-02-16,2025-03-02,2025-03-02,Returned On Time,0.0
TRX-1037,BK-117,Deep Learning with Python,Data Science,E. Gamma,MEM-218,Staff,2025-10-02,2025-10-16,2025-10-14,Returned On Time,0.0
TRX-1038,BK-108,Deep Learning with Python,Networks,S. Russell,MEM-200,Student,2025-04-06,2025-04-20,2025-04-18,Returned On Time,0.0
TRX-1039,BK-100,Data Structures and Algorithms,Networks,E. Gamma,MEM-228,Student,2025-03-17,2025-03-31,2025-03-29,Returned On Time,0.0
TRX-1040,BK-113,Deep Learning with Python,Networks,S. Russell,MEM-229,General,2025-07-23,2025-08-06,2025-08-02,Returned On Time,0.0
TRX-1041,BK-103,Introduction to Python,Networks,A. Silberschatz,MEM-209,General,2025-04-10,2025-04-24,2025-04-20,Returned On Time,0.0
TRX-1042,BK-100,Machine Learning Yearning,Networks,G. van Rossum,MEM-203,Faculty,2025-09-04,2025-09-18,2025-09-29,Returned Late,27.5
TRX-1043,BK-119,Machine Learning Yearning,AI & ML,A. Silberschatz,MEM-234,Faculty,2025-06-28,2025-07-12,2025-07-16,Returned Late,10.0
TRX-1044,BK-107,Design Patterns,Software Engineering,M. Fowler,MEM-228,Student,2025-04-05,2025-04-19,2025-04-17,Returned On Time,0.0
TRX-1045,BK-116,Design Patterns,Networks,A. Silberschatz,MEM-209,Student,2025-04-25,2025-05-09,2025-05-05,Returned On Time,0.0
TRX-1046,BK-112,The Pragmatic Programmer,Networks,M. Fowler,MEM-224,Staff,2025-09-06,2025-09-20,2025-09-18,Returned On Time,0.0
TRX-1047,BK-102,Introduction to Python,Software Engineering,M. Fowler,MEM-217,Student,2025-04-06,2025-04-20,2025-04-18,Returned On Time,0.0
TRX-1048,BK-116,Data Structures and Algorithms,Networks,S. Russell,MEM-234,Student,2025-09-30,2025-10-14,2025-10-12,Returned On Time,0.0
TRX-1049,BK-112,The Pragmatic Programmer,Software Engineering,S. Russell,MEM-235,Student,2025-08-21,2025-09-04,2025-09-08,Returned Late,10.0
TRX-1050,BK-119,Database System Concepts,Data Science,G. van Rossum,MEM-204,Student,2025-01-25,2025-02-08,2025-02-06,Returned On Time,0.0
TRX-1051,BK-115,Computer Networking,Networks,G. van Rossum,MEM-241,General,2025-08-11,2025-08-25,2025-08-21,Returned On Time,0.0
TRX-1052,BK-110,Advanced Data Science,AI & ML,S. Russell,MEM-209,Staff,2025-09-10,2025-09-24,2025-09-28,Returned Late,10.0
TRX-1053,BK-108,Advanced Data Science,Software Engineering,A. Silberschatz,MEM-201,Student,2025-06-14,2025-06-28,2025-06-24,Returned On Time,0.0
TRX-1054,BK-119,Introduction to Python,Computer Science,G. van Rossum,MEM-203,Student,2025-09-09,2025-09-23,2025-09-19,Returned On Time,0.0
TRX-1055,BK-109,Design Patterns,Software Engineering,E. Gamma,MEM-202,Student,2025-08-30,2025-09-13,2025-09-11,Returned On Time,0.0
TRX-1056,BK-108,Data Structures and Algorithms,Computer Science,A. Tanenbaum,MEM-212,Student,2025-07-10,2025-07-24,2025-07-22,Returned On Time,0.0
TRX-1057,BK-105,Design Patterns,AI & ML,G. van Rossum,MEM-231,Faculty,2025-05-29,2025-06-12,2025-06-08,Returned On Time,0.0
TRX-1058,BK-103,Database System Concepts,Software Engineering,M. Fowler,MEM-217,Student,2025-01-14,2025-01-28,2025-01-24,Returned On Time,0.0
TRX-1059,BK-102,Data Structures and Algorithms,Computer Science,A. Tanenbaum,MEM-211,General,2025-09-29,2025-10-13,2025-10-17,Returned Late,10.0
TRX-1060,BK-107,Design Patterns,AI & ML,M. Fowler,MEM-225,Student,2025-06-27,2025-07-11,2025-07-07,Returned On Time,0.0
TRX-1061,BK-116,Computer Networking,Computer Science,G. van Rossum,MEM-219,Faculty,2025-08-28,2025-09-11,2025-09-07,Returned On Time,0.0
TRX-1062,BK-117,Database System Concepts,Networks,S. Russell,MEM-201,Student,2025-10-13,2025-10-27,2025-10-31,Returned Late,10.0
TRX-1063,BK-100,Artificial Intelligence: A Modern Approach,Computer Science,A. Silberschatz,MEM-231,General,2025-09-24,2025-10-08,2025-10-06,Returned On Time,0.0
TRX-1064,BK-116,Introduction to Python,Data Science,S. Russell,MEM-234,Student,2025-01-06,2025-01-20,2025-01-20,Returned On Time,0.0
TRX-1065,BK-102,Clean Code,Networks,G. van Rossum,MEM-236,Staff,2025-03-24,2025-04-07,2025-04-03,Returned On Time,0.0
TRX-1066,BK-118,Operating System Principles,Computer Science,S. Russell,MEM-239,Faculty,2025-04-05,2025-04-19,2025-04-15,Returned On Time,0.0
TRX-1067,BK-102,The Pragmatic Programmer,Data Science,M. Fowler,MEM-200,Faculty,2025-08-10,2025-08-24,2025-08-24,Returned On Time,0.0
TRX-1068,BK-114,Clean Code,,E. Gamma,MEM-201,Staff,2025-04-13,2025-04-27,2025-04-23,Returned On Time,0.0
TRX-1069,BK-101,Advanced Data Science,Software Engineering,A. Tanenbaum,MEM-233,Student,2025-06-15,2025-06-29,2025-06-27,Returned On Time,0.0
TRX-1070,BK-109,Database System Concepts,Computer Science,G. van Rossum,MEM-228,Student,2025-07-03,2025-07-17,2025-07-21,Returned Late,10.0
TRX-1071,BK-104,Advanced Data Science,Networks,A. Silberschatz,MEM-212,Student,2025-02-12,2025-02-26,2025-02-22,Returned On Time,0.0
TRX-1072,BK-115,The Pragmatic Programmer,AI & ML,M. Fowler,MEM-224,General,2025-07-14,2025-07-28,2025-07-26,Returned On Time,0.0
TRX-1073,BK-118,Database System Concepts,Networks,G. van Rossum,MEM-217,Student,2025-01-22,2025-02-05,2025-02-01,Returned On Time,0.0
TRX-1074,BK-113,Advanced Data Science,Computer Science,E. Gamma,MEM-225,Faculty,2025-03-14,2025-03-28,2025-03-24,Returned On Time,0.0
TRX-1075,BK-110,Introduction to Python,Data Science,M. Fowler,MEM-200,Student,2025-09-10,2025-09-24,,Borrowed,0.0
TRX-1076,BK-113,Design Patterns,AI & ML,E. Gamma,MEM-223,Staff,2025-06-03,2025-06-17,2025-06-13,Returned On Time,0.0
TRX-1077,BK-114,Data Structures and Algorithms,Software Engineering,M. Fowler,MEM-244,General,2025-10-21,2025-11-04,2025-11-02,Returned On Time,0.0
TRX-1078,BK-104,Deep Learning with Python,Data Science,S. Russell,MEM-216,Student,2025-05-06,2025-05-20,2025-05-16,Returned On Time,0.0
TRX-1079,BK-103,Design Patterns,Software Engineering,S. Russell,MEM-244,Student,2025-08-16,2025-08-30,2025-08-28,Returned On Time,0.0
TRX-1080,BK-116,Deep Learning with Python,Software Engineering,A. Silberschatz,MEM-240,Student,2025-06-29,2025-07-13,2025-07-13,Returned On Time,0.0
TRX-1081,BK-112,Artificial Intelligence: A Modern Approach,Networks,S. Russell,MEM-232,Student,2025-10-04,2025-10-18,2025-10-14,Returned On Time,0.0
TRX-1082,BK-110,Machine Learning Yearning,Computer Science,A. Tanenbaum,MEM-230,Student,2025-02-05,2025-02-19,,Borrowed,0.0
TRX-1083,BK-110,Operating System Principles,Computer Science,E. Gamma,MEM-237,Faculty,2025-07-13,2025-07-27,2025-07-25,Returned On Time,0.0
TRX-1084,BK-111,Clean Code,Data Science,E. Gamma,MEM-203,Student,2025-08-13,2025-08-27,2025-08-27,Returned On Time,0.0
TRX-1085,BK-113,Artificial Intelligence: A Modern Approach,Networks,E. Gamma,MEM-210,General,2025-09-16,2025-09-30,2025-09-26,Returned On Time,0.0
TRX-1086,BK-109,Deep Learning with Python,Data Science,G. van Rossum,MEM-239,Staff,2025-04-11,2025-04-25,2025-04-21,Returned On Time,0.0
TRX-1087,BK-105,Data Structures and Algorithms,Software Engineering,E. Gamma,MEM-230,General,2025-08-24,2025-09-07,2025-09-05,Returned On Time,0.0
TRX-1088,BK-101,Deep Learning with Python,Software Engineering,A. Tanenbaum,MEM-200,Staff,2025-03-01,2025-03-15,2025-03-19,Returned Late,10.0
TRX-1089,BK-113,Deep Learning with Python,Software Engineering,G. van Rossum,MEM-236,Staff,2025-03-19,2025-04-02,2025-03-31,Returned On Time,0.0
TRX-1090,BK-117,Machine Learning Yearning,Software Engineering,G. van Rossum,MEM-237,Faculty,2025-03-04,2025-03-18,2025-03-16,Returned On Time,0.0
TRX-1091,BK-101,Clean Code,Software Engineering,A. Tanenbaum,MEM-205,General,2025-06-28,2025-07-12,2025-07-10,Returned On Time,0.0
TRX-1092,BK-100,Operating System Principles,Software Engineering,M. Fowler,MEM-228,Student,2025-04-07,2025-04-21,2025-04-21,Returned On Time,0.0
TRX-1093,BK-103,Artificial Intelligence: A Modern Approach,Data Science,A. Silberschatz,MEM-204,General,2025-04-28,2025-05-12,2025-05-16,Returned Late,10.0
TRX-1094,BK-119,Machine Learning Yearning,Networks,G. van Rossum,MEM-228,Student,2025-06-22,2025-07-06,2025-07-06,Returned On Time,0.0
TRX-1095,BK-103,Design Patterns,Software Engineering,A. Tanenbaum,MEM-204,Staff,2025-09-11,2025-09-25,2025-10-06,Returned Late,27.5
TRX-1096,BK-114,Design Patterns,,M. Fowler,MEM-225,Faculty,2025-07-29,2025-08-12,2025-08-12,Returned On Time,0.0
TRX-1097,BK-111,Deep Learning with Python,AI & ML,M. Fowler,MEM-204,General,2025-05-07,2025-05-21,2025-05-17,Returned On Time,0.0
TRX-1098,BK-118,Machine Learning Yearning,Computer Science,E. Gamma,MEM-210,Student,2025-04-11,2025-04-25,,Borrowed,0.0
TRX-1099,BK-100,Artificial Intelligence: A Modern Approach,Software Engineering,G. van Rossum,MEM-246,Student,2025-05-17,2025-05-31,2025-05-27,Returned On Time,0.0
TRX-1100,BK-102,Operating System Principles,Computer Science,A. Silberschatz,MEM-210,General,2025-07-29,2025-08-12,2025-08-10,Returned On Time,0.0
TRX-1101,BK-111,The Pragmatic Programmer,Software Engineering,E. Gamma,MEM-223,Faculty,2025-06-29,2025-07-13,2025-07-11,Returned On Time,0.0
TRX-1102,BK-110,Artificial Intelligence: A Modern Approach,Data Science,M. Fowler,MEM-249,Faculty,2025-03-25,2025-04-08,2025-04-06,Returned On Time,0.0
TRX-1103,BK-107,Introduction to Python,Computer Science,G. van Rossum,MEM-229,Staff,2025-07-30,2025-08-13,2025-08-11,Returned On Time,0.0
TRX-1104,BK-115,Machine Learning Yearning,Software Engineering,A. Silberschatz,MEM-200,Staff,2025-06-24,2025-07-08,2025-07-06,Returned On Time,0.0
TRX-1105,BK-105,Database System Concepts,AI & ML,S. Russell,MEM-207,General,2025-05-11,2025-05-25,2025-05-23,Returned On Time,0.0
TRX-1106,BK-100,Data Structures and Algorithms,AI & ML,A. Silberschatz,MEM-206,Faculty,2025-09-04,2025-09-18,2025-09-14,Returned On Time,0.0
TRX-1107,BK-107,Artificial Intelligence: A Modern Approach,Computer Science,G. van Rossum,MEM-202,General,2025-04-02,2025-04-16,2025-04-12,Returned On Time,0.0
TRX-1108,BK-113,Machine Learning Yearning,Software Engineering,M. Fowler,MEM-236,Student,2025-08-11,2025-08-25,2025-08-23,Returned On Time,0.0
TRX-1109,BK-100,Data Structures and Algorithms,Networks,A. Tanenbaum,MEM-247,Student,2025-02-05,2025-02-19,2025-02-19,Returned On Time,0.0
TRX-1110,BK-104,Operating System Principles,Software Engineering,A. Silberschatz,MEM-201,Student,2025-04-29,2025-05-13,2025-05-09,Returned On Time,0.0
TRX-1111,BK-108,Advanced Data Science,Networks,M. Fowler,MEM-234,General,2025-10-07,2025-10-21,2025-10-17,Returned On Time,0.0
TRX-1112,BK-116,Advanced Data Science,Software Engineering,S. Russell,MEM-213,Staff,2025-08-25,2025-09-08,2025-09-06,Returned On Time,0.0
TRX-1113,BK-113,Operating System Principles,Data Science,A. Silberschatz,MEM-228,Student,2025-08-03,2025-08-17,2025-08-17,Returned On Time,0.0
TRX-1114,BK-109,Operating System Principles,Computer Science,E. Gamma,MEM-233,Faculty,2025-06-02,2025-06-16,2025-06-14,Returned On Time,0.0
TRX-1115,BK-105,The Pragmatic Programmer,Data Science,M. Fowler,MEM-244,Faculty,2025-06-22,2025-07-06,2025-07-10,Returned Late,10.0
TRX-1116,BK-113,Advanced Data Science,AI & ML,E. Gamma,MEM-242,Student,2025-06-30,2025-07-14,2025-07-14,Returned On Time,0.0
TRX-1117,BK-107,The Pragmatic Programmer,AI & ML,S. Russell,MEM-238,Faculty,2025-04-08,2025-04-22,2025-04-20,Returned On Time,0.0
TRX-1118,BK-100,Design Patterns,AI & ML,M. Fowler,MEM-218,Faculty,2025-07-20,2025-08-03,2025-08-03,Returned On Time,0.0
TRX-1119,BK-116,Introduction to Python,Computer Science,G. van Rossum,MEM-242,Faculty,2025-01-25,2025-02-08,2025-02-04,Returned On Time,0.0
TRX-1120,BK-111,Database System Concepts,Data Science,M. Fowler,MEM-218,Student,2025-01-17,2025-01-31,2025-03-03,Returned Late,77.5
TRX-1121,BK-115,Machine Learning Yearning,Software Engineering,G. van Rossum,MEM-216,Faculty,2025-07-17,2025-07-31,,Borrowed,0.0
TRX-1122,BK-108,Design Patterns,Data Science,S. Russell,MEM-222,Faculty,2025-03-27,2025-04-10,2025-04-21,Returned Late,27.5
TRX-1123,BK-108,Database System Concepts,Data Science,A. Tanenbaum,MEM-222,Staff,2025-08-11,2025-08-25,2025-08-29,Returned Late,10.0
TRX-1124,BK-109,Data Structures and Algorithms,Computer Science,E. Gamma,MEM-230,Student,2025-04-18,2025-05-02,2025-04-28,Returned On Time,0.0
TRX-1125,BK-107,Design Patterns,AI & ML,S. Russell,MEM-203,Staff,2025-07-29,2025-08-12,2025-08-10,Returned On Time,0.0
TRX-1126,BK-101,Data Structures and Algorithms,Software Engineering,A. Silberschatz,MEM-233,Student,2025-09-04,2025-09-18,2025-09-14,Returned On Time,0.0
TRX-1127,BK-106,Operating System Principles,Networks,E. Gamma,MEM-248,Student,2025-09-02,2025-09-16,2025-09-14,Returned On Time,0.0
TRX-1128,BK-109,Computer Networking,AI & ML,G. van Rossum,MEM-200,Student,2025-01-03,2025-01-17,2025-01-15,Returned On Time,0.0
TRX-1129,BK-117,Clean Code,Computer Science,S. Russell,MEM-245,Student,2025-05-20,2025-06-03,2025-07-04,Returned Late,77.5
TRX-1130,BK-105,Data Structures and Algorithms,Software Engineering,E. Gamma,MEM-212,General,2025-07-18,2025-08-01,,Borrowed,0.0
TRX-1131,BK-118,Design Patterns,Software Engineering,A. Silberschatz,MEM-225,Student,2025-09-16,2025-09-30,2025-10-04,Returned Late,10.0
TRX-1132,BK-116,Computer Networking,Software Engineering,M. Fowler,MEM-248,Student,2025-06-27,2025-07-11,2025-07-09,Returned On Time,0.0
TRX-1133,BK-102,Artificial Intelligence: A Modern Approach,Networks,G. van Rossum,MEM-246,Student,2025-03-09,2025-03-23,2025-03-21,Returned On Time,0.0
TRX-1134,BK-102,The Pragmatic Programmer,AI & ML,G. van Rossum,MEM-208,Student,2025-08-14,2025-08-28,2025-09-01,Returned Late,10.0
TRX-1135,BK-104,The Pragmatic Programmer,Software Engineering,A. Silberschatz,MEM-223,Student,2025-02-07,2025-02-21,2025-02-17,Returned On Time,0.0
TRX-1136,BK-105,Clean Code,AI & ML,G. van Rossum,MEM-227,Student,2025-03-22,2025-04-05,2025-04-01,Returned On Time,0.0
TRX-1137,BK-118,Design Patterns,Software Engineering,A. Silberschatz,MEM-239,Faculty,2025-08-25,2025-09-08,2025-09-08,Returned On Time,0.0
TRX-1138,BK-100,The Pragmatic Programmer,Software Engineering,S. Russell,MEM-212,Staff,2025-06-30,2025-07-14,2025-07-14,Returned On Time,0.0
TRX-1139,BK-106,Clean Code,Software Engineering,G. van Rossum,MEM-230,Staff,2025-06-09,2025-06-23,2025-06-21,Returned On Time,0.0
TRX-1140,BK-103,Advanced Data Science,Networks,G. van Rossum,MEM-211,Student,2025-08-12,2025-08-26,2025-08-22,Returned On Time,0.0
TRX-1141,BK-107,Advanced Data Science,AI & ML,G. van Rossum,MEM-234,Student,2025-03-15,2025-03-29,2025-03-27,Returned On Time,0.0
TRX-1142,BK-114,Clean Code,Networks,E. Gamma,MEM-203,Student,2025-08-30,2025-09-13,2025-09-24,Returned Late,27.5
TRX-1143,BK-116,Design Patterns,Computer Science,E. Gamma,MEM-225,Student,2025-07-29,2025-08-12,2025-08-16,Returned Late,10.0
TRX-1144,BK-103,The Pragmatic Programmer,Software Engineering,M. Fowler,MEM-211,Student,2025-02-02,2025-02-16,2025-02-14,Returned On Time,0.0
TRX-1145,BK-101,Advanced Data Science,Networks,M. Fowler,MEM-216,Student,2025-02-08,2025-02-22,2025-02-20,Returned On Time,0.0
TRX-1146,BK-101,Operating System Principles,Software Engineering,A. Tanenbaum,MEM-202,General,2025-08-24,2025-09-07,2025-09-03,Returned On Time,0.0
TRX-1147,BK-104,The Pragmatic Programmer,AI & ML,E. Gamma,MEM-218,Student,2025-09-14,2025-09-28,2025-09-26,Returned On Time,0.0
TRX-1148,BK-102,Introduction to Python,Computer Science,M. Fowler,MEM-217,General,2025-07-27,2025-08-10,2025-08-08,Returned On Time,0.0
TRX-1149,BK-107,The Pragmatic Programmer,Data Science,M. Fowler,MEM-206,Faculty,2025-06-30,2025-07-14,2025-07-25,Returned Late,27.5
TRX-1150,BK-114,Computer Networking,Computer Science,E. Gamma,MEM-243,Student,2025-01-09,2025-01-23,2025-01-19,Returned On Time,0.0
TRX-1151,BK-101,Machine Learning Yearning,Software Engineering,G. van Rossum,MEM-216,Student,2025-10-01,2025-10-15,2025-10-15,Returned On Time,0.0
TRX-1152,BK-105,The Pragmatic Programmer,Networks,S. Russell,MEM-232,General,2025-09-24,2025-10-08,2025-10-06,Returned On Time,0.0
TRX-1153,BK-113,Artificial Intelligence: A Modern Approach,AI & ML,M. Fowler,MEM-232,Faculty,2025-08-30,2025-09-13,2025-09-11,Returned On Time,0.0
TRX-1154,BK-112,Introduction to Python,Networks,M. Fowler,MEM-225,Student,2025-07-13,2025-07-27,2025-08-27,Returned Late,77.5
TRX-1155,BK-114,Advanced Data Science,Data Science,M. Fowler,MEM-248,General,2025-05-03,2025-05-17,2025-05-13,Returned On Time,0.0
TRX-1156,BK-108,Advanced Data Science,AI & ML,A. Silberschatz,MEM-227,Staff,2025-04-21,2025-05-05,2025-05-09,Returned Late,10.0
TRX-1157,BK-103,Artificial Intelligence: A Modern Approach,Data Science,E. Gamma,MEM-225,Student,2025-05-07,2025-05-21,2025-05-19,Returned On Time,0.0
TRX-1158,BK-111,Data Structures and Algorithms,AI & ML,G. van Rossum,MEM-224,General,2025-05-02,2025-05-16,2025-05-14,Returned On Time,0.0
TRX-1159,BK-118,Deep Learning with Python,Data Science,E. Gamma,MEM-217,Faculty,2025-02-06,2025-02-20,,Borrowed,0.0
TRX-1160,BK-109,Database System Concepts,Software Engineering,G. van Rossum,MEM-228,Student,2025-07-26,2025-08-09,2025-08-05,Returned On Time,0.0
TRX-1161,BK-119,Clean Code,AI & ML,M. Fowler,MEM-243,Staff,2025-06-01,2025-06-15,2025-06-13,Returned On Time,0.0
TRX-1162,BK-101,Operating System Principles,Data Science,A. Silberschatz,MEM-235,Student,2025-08-31,2025-09-14,2025-09-12,Returned On Time,0.0
TRX-1163,BK-112,Advanced Data Science,Networks,S. Russell,MEM-234,Staff,2025-04-10,2025-04-24,2025-05-05,Returned Late,27.5
TRX-1164,BK-113,Advanced Data Science,Networks,G. van Rossum,MEM-237,Student,2025-04-21,2025-05-05,2025-05-03,Returned On Time,0.0
TRX-1165,BK-106,Artificial Intelligence: A Modern Approach,,A. Tanenbaum,MEM-224,General,2025-03-07,2025-03-21,2025-03-25,Returned Late,10.0
TRX-1166,BK-111,Machine Learning Yearning,AI & ML,G. van Rossum,MEM-222,Student,2025-01-10,2025-01-24,2025-01-20,Returned On Time,0.0
TRX-1167,BK-109,Deep Learning with Python,Computer Science,S. Russell,MEM-204,Student,2025-06-20,2025-07-04,2025-07-15,Returned Late,27.5
TRX-1168,BK-110,Clean Code,Networks,M. Fowler,MEM-236,Staff,2025-04-30,2025-05-14,2025-05-18,Returned Late,10.0
TRX-1169,BK-111,The Pragmatic Programmer,Networks,M. Fowler,MEM-249,General,2025-10-20,2025-11-03,2025-11-14,Returned Late,27.5
TRX-1170,BK-105,Clean Code,Networks,A. Tanenbaum,MEM-204,Student,2025-06-28,2025-07-12,2025-07-08,Returned On Time,0.0
TRX-1171,BK-110,Advanced Data Science,Computer Science,A. Silberschatz,MEM-228,General,2025-08-11,2025-08-25,2025-08-21,Returned On Time,0.0
TRX-1172,BK-105,Operating System Principles,Networks,M. Fowler,MEM-215,General,2025-01-08,2025-01-22,2025-02-22,Returned Late,77.5
TRX-1173,BK-105,Clean Code,Data Science,S. Russell,MEM-225,Student,2025-04-24,2025-05-08,2025-05-04,Returned On Time,0.0
TRX-1174,BK-116,Deep Learning with Python,Software Engineering,S. Russell,MEM-245,General,2025-01-01,2025-01-15,2025-01-11,Returned On Time,0.0
TRX-1175,BK-104,Computer Networking,Data Science,E. Gamma,MEM-227,Student,2025-07-11,2025-07-25,2025-07-21,Returned On Time,0.0
TRX-1176,BK-115,Computer Networking,Networks,G. van Rossum,MEM-230,Staff,2025-04-08,2025-04-22,2025-04-20,Returned On Time,0.0
TRX-1177,BK-105,Advanced Data Science,Data Science,,MEM-240,Student,2025-05-09,2025-05-23,2025-05-19,Returned On Time,0.0
TRX-1178,BK-114,Introduction to Python,AI & ML,A. Silberschatz,MEM-206,Faculty,2025-04-03,2025-04-17,2025-04-15,Returned On Time,0.0
TRX-1179,BK-111,Artificial Intelligence: A Modern Approach,Data Science,A. Tanenbaum,MEM-234,Student,2025-09-22,2025-10-06,2025-10-04,Returned On Time,0.0
TRX-1180,BK-105,Deep Learning with Python,Networks,G. van Rossum,MEM-225,Student,2025-05-13,2025-05-27,2025-05-25,Returned On Time,0.0
TRX-1181,BK-114,The Pragmatic Programmer,Data Science,M. Fowler,MEM-242,Student,2025-04-17,2025-05-01,2025-04-27,Returned On Time,0.0
TRX-1182,BK-103,The Pragmatic Programmer,Software Engineering,M. Fowler,MEM-220,Student,2025-10-02,2025-10-16,2025-10-12,Returned On Time,0.0
TRX-1183,BK-119,The Pragmatic Programmer,Networks,M. Fowler,MEM-234,Faculty,2025-04-16,2025-04-30,2025-04-30,Returned On Time,0.0
